buying,maint,doors,persons,lug_boot,safety,class
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW
aaaa,bbbb,11,23,mmm,ggg,BMW

